loss,val_accuracy,val_loss,accuracy,lr
0.217837483,0.617655635,0.221973896,0.671323538,5.00E-05
0.117016874,0.667348742,0.12136136,0.763970613,5.00E-05
0.075180747,0.694241464,0.067735277,0.804411769,5.00E-05
0.051610235,0.718211055,0.047991965,0.820588231,5.00E-05
0.040514011,0.742765248,0.036375664,0.83602941,5.00E-05
0.036081161,0.757527053,0.030514061,0.84632355,5.00E-05
0.032268122,0.772142649,0.025874743,0.85661763,5.00E-05
0.029778728,0.792750657,0.024563566,0.85147059,5.00E-05
0.027817247,0.805466235,0.023132373,0.85661763,5.00E-05
0.027495753,0.813943267,0.01991868,0.866911769,5.00E-05
0.025683865,0.821543396,0.019895345,0.873529434,5.00E-05
0.024924735,0.828558922,0.020261182,0.871323526,5.00E-05
0.023378748,0.836743653,0.01828799,0.878676474,2.50E-05
0.022093404,0.853551567,0.019186709,0.880882382,2.50E-05
0.021170733,0.857643962,0.017920244,0.885294139,2.50E-05
0.020520143,0.862174809,0.019260587,0.879411757,2.50E-05
0.020492222,0.858374715,0.017933553,0.886029422,2.50E-05
0.01893051,0.874598086,0.017817926,0.887499988,1.25E-05
0.018614037,0.871090353,0.016745904,0.897794127,1.25E-05
0.017281763,0.881175101,0.016339198,0.899999976,1.25E-05
0.017827556,0.880298138,0.016764337,0.897794127,1.25E-05
0.01725648,0.886436701,0.016882634,0.904411793,1.25E-05
0.016797472,0.888190567,0.016775867,0.906617641,6.25E-06
0.017107524,0.882198215,0.016653201,0.900735319,6.25E-06
0.01623627,0.894329131,0.016449645,0.904411793,3.13E-06
0.016246483,0.891259849,0.016361455,0.90367645,3.13E-06
0.01555542,0.897836864,0.016380098,0.904411793,1.56E-06
0.015989771,0.887021363,0.016484851,0.904411793,1.56E-06
0.015268395,0.897106111,0.01656097,0.904411793,1.00E-06
0.0157954,0.890236795,0.016597234,0.904411793,1.00E-06
